name_ch,name_en,team_ch,team_en,number,position,height,weight,weight,birthday,annual_salary
泰勒-多西,Tyler Dorsey,老鹰,hawks,2,G,1.93米/6尺4,83公斤/183磅,83公斤/183磅,1996-02-18,本年薪金：138万美元
丹尼尔-汉密尔顿,Daniel Hamilton,老鹰,hawks,5,G-F,2.01米/6尺7,88公斤/195磅,88公斤/195磅,1995-08-08,本年薪金：135万美元
杰伦-亚当斯,Jaylen Adams,老鹰,hawks,10,G,1.88米/6尺2,102公斤/225磅,102公斤/225磅,1996-05-04,本年薪金：7万美元
亚历克斯-波伊思雷斯,Alex Poythress,老鹰,hawks,22,F,2.01米/6尺7,108公斤/238磅,108公斤/238磅,1993-09-06,本年薪金：7万美元
安德鲁-威金斯,Andrew Wiggins,森林狼,timberwolves,22,F,2.03米/6尺8,90公斤/199磅,90公斤/199磅,1995-02-23,本年薪金：2525万美元
杰夫-蒂格,Jeff Teague,森林狼,timberwolves,0,G,1.88米/6尺2,84公斤/186磅,84公斤/186磅,1988-06-10,本年薪金：1900万美元
戈尔吉-吉昂,Gorgui Dieng,森林狼,timberwolves,5,C,2.11米/6尺11,109公斤/240磅,109公斤/240磅,1990-01-18,本年薪金：1517万美元
泰-吉布森,Taj Gibson,森林狼,timberwolves,67,F,2.06米/6尺9,107公斤/236磅,107公斤/236磅,1985-06-24,本年薪金：1400万美元
罗伯特-科温顿,Robert Covington,森林狼,timberwolves,33,F,2.06米/6尺9,98公斤/215磅,98公斤/215磅,1990-12-14,本年薪金：1002万美元
杰里-贝勒斯,Jerryd Bayless,森林狼,timberwolves,8,G,1.91米/6尺3,91公斤/200磅,91公斤/200磅,1988-08-20,本年薪金：858万美元
卡尔-安东尼-唐斯,Karl-Anthony Towns,森林狼,timberwolves,32,C-F,2.13米/7尺0,111公斤/244磅,111公斤/244磅,1995-11-15,本年薪金：784万美元
安东尼-托利弗,Anthony Tolliver,森林狼,timberwolves,43,F,2.03米/6尺8,109公斤/240磅,109公斤/240磅,1985-06-01,本年薪金：575万美元
达里奥-沙里奇,Dario Saric,森林狼,timberwolves,36,F,2.08米/6尺10,101公斤/223磅,101公斤/223磅,1994-04-08,本年薪金：253万美元
泰厄斯-琼斯,Tyus Jones,森林狼,timberwolves,1,G,1.88米/6尺2,88公斤/195磅,88公斤/195磅,1996-05-10,本年薪金：244万美元
洛尔-邓,Luol Deng,森林狼,timberwolves,9,F,2.06米/6尺9,100公斤/220磅,100公斤/220磅,1985-04-16,本年薪金：240万美元
德里克-罗斯,Derrick Rose,森林狼,timberwolves,25,G,1.91米/6尺3,86公斤/190磅,86公斤/190磅,1988-10-04,本年薪金：240万美元
约什-奥科吉,Josh Okogie,森林狼,timberwolves,20,G,1.93米/6尺4,97公斤/213磅,97公斤/213磅,1998-09-01,本年薪金：216万美元
凯塔-贝茨-迪奥普,Keita Bates-Diop,森林狼,timberwolves,31,F,2.01米/6尺7,107公斤/235磅,107公斤/235磅,1996-01-23,本年薪金：84万美元
杰瑞-特雷尔,Jared Terrell,森林狼,timberwolves,3,G,1.91米/6尺3,98公斤/215磅,98公斤/215磅,1995-02-10,本年薪金：7万美元
CJ-威廉姆斯,C.J. Williams,森林狼,timberwolves,12,G,1.96米/6尺5,104公斤/230磅,104公斤/230磅,1990-02-06,本年薪金：7万美元
保罗-米尔萨普,Paul Millsap,掘金,nuggets,4,F,2.03米/6尺8,112公斤/246磅,112公斤/246磅,1985-02-10,本年薪金：2973万美元
尼古拉-约基奇,Nikola Jokic,掘金,nuggets,15,C,2.13米/7尺0,113公斤/250磅,113公斤/250磅,1995-02-19,本年薪金：2548万美元
加里-哈里斯,Gary Harris,掘金,nuggets,14,G,1.93米/6尺4,95公斤/210磅,95公斤/210磅,1994-09-14,本年薪金：1652万美元
梅森-普拉姆利,Mason Plumlee,掘金,nuggets,24,F-C,2.11米/6尺11,116公斤/255磅,116公斤/255磅,1990-03-05,本年薪金：1291万美元
威尔-巴顿,Will Barton,掘金,nuggets,5,G,1.98米/6尺6,79公斤/175磅,79公斤/175磅,1991-01-06,本年薪金：1183万美元
贾马尔-默里,Jamal Murray,掘金,nuggets,27,G,1.93米/6尺4,94公斤/207磅,94公斤/207磅,1997-02-23,本年薪金：350万美元
特雷-莱尔斯,Trey Lyles,掘金,nuggets,7,F,2.08米/6尺10,106公斤/234磅,106公斤/234磅,1995-11-05,本年薪金：336万美元
迈克尔-波特,Michael Porter Jr.,掘金,nuggets,1,F,2.08米/6尺10,98公斤/215磅,98公斤/215磅,1998-06-29,本年薪金：289万美元
胡安-埃尔南戈麦斯,Juancho Hernangomez,掘金,nuggets,41,F,2.06米/6尺9,104公斤/230磅,104公斤/230磅,1995-09-28,本年薪金：217万美元
以赛亚-托马斯,Isaiah Thomas,掘金,nuggets,0,G,1.75米/5尺9,84公斤/185磅,84公斤/185磅,1989-02-07,本年薪金：203万美元
托里-克雷格,Torrey Craig,掘金,nuggets,3,F,1.98米/6尺6,98公斤/215磅,98公斤/215磅,1990-12-19,本年薪金：200万美元
泰勒-莱登,Tyler Lydon,掘金,nuggets,20,F,2.06米/6尺9,100公斤/220磅,100公斤/220磅,1996-04-09,本年薪金：187万美元
马利克-比斯利,Malik Beasley,掘金,nuggets,25,G,1.96米/6尺5,89公斤/196磅,89公斤/196磅,1996-11-26,本年薪金：177万美元
蒙特-莫里斯,Monte Morris,掘金,nuggets,11,G,1.88米/6尺2,79公斤/175磅,79公斤/175磅,1995-06-27,本年薪金：135万美元
贾里德-范德比尔特,Jarred Vanderbilt,掘金,nuggets,8,F,2.06米/6尺9,97公斤/214磅,97公斤/214磅,1999-04-03,本年薪金：84万美元
布兰登-古德温,Brandon Goodwin,掘金,nuggets,6,G,1.88米/6尺2,82公斤/180磅,82公斤/180磅,1995-10-02,本年薪金：7万美元
托马斯-韦尔什,Thomas Welsh,掘金,nuggets,45,C,2.13米/7尺0,116公斤/255磅,116公斤/255磅,1996-02-03,本年薪金：7万美元
斯蒂芬-库里,Stephen Curry,勇士,warriors,30,G,1.91米/6尺3,86公斤/190磅,86公斤/190磅,1988-03-14,本年薪金：3746万美元
凯文-杜兰特,Kevin Durant,勇士,warriors,35,F,2.06米/6尺9,109公斤/240磅,109公斤/240磅,1988-09-29,本年薪金：3000万美元
克莱-汤普森,Klay Thompson,勇士,warriors,11,G,2.01米/6尺7,98公斤/215磅,98公斤/215磅,1990-02-08,本年薪金：1899万美元
德雷蒙德-格林,Draymond Green,勇士,warriors,23,F,2.01米/6尺7,104公斤/230磅,104公斤/230磅,1990-03-04,本年薪金：1747万美元
安德烈-伊格达拉,Andre Iguodala,勇士,warriors,9,G-F,1.98米/6尺6,98公斤/215磅,98公斤/215磅,1984-01-28,本年薪金：1600万美元
肖恩-利文斯顿,Shaun Livingston,勇士,warriors,34,G,2.01米/6尺7,87公斤/192磅,87公斤/192磅,1985-09-11,本年薪金：831万美元
德马库斯-考辛斯,DeMarcus Cousins,勇士,warriors,0,C,2.11米/6尺11,122公斤/270磅,122公斤/270磅,1990-08-13,本年薪金：534万美元
约纳斯-杰雷布科,Jonas Jerebko,勇士,warriors,21,F,2.08米/6尺10,105公斤/231磅,105公斤/231磅,1987-03-02,本年薪金：217万美元
雅各布-埃文斯,Jacob Evans,勇士,warriors,10,G,1.98米/6尺6,95公斤/210磅,95公斤/210磅,1997-06-18,本年薪金：164万美元
凯文-卢尼,Kevon Looney,勇士,warriors,5,F,2.06米/6尺9,100公斤/220磅,100公斤/220磅,1996-02-06,本年薪金：157万美元
奎因-库克,Quinn Cook,勇士,warriors,4,G,1.88米/6尺2,81公斤/179磅,81公斤/179磅,1993-03-23,本年薪金：154万美元
乔丹-贝尔,Jordan Bell,勇士,warriors,2,F,2.03米/6尺8,102公斤/225磅,102公斤/225磅,1995-01-07,本年薪金：138万美元
阿方索-麦金尼,Alfonzo McKinnie,勇士,warriors,28,F,2.03米/6尺8,98公斤/215磅,98公斤/215磅,1992-09-17,本年薪金：135万美元
达米安-琼斯,Damian Jones,勇士,warriors,15,C,2.13米/7尺0,111公斤/245磅,111公斤/245磅,1995-06-30,本年薪金：128万美元
马库斯-德里克森,Marcus Derrickson,勇士,warriors,32,F,2.01米/6尺7,113公斤/249磅,113公斤/249磅,1996-02-01,本年薪金：7万美元
达米恩-李,Damion Lee,勇士,warriors,1,G,1.98米/6尺6,95公斤/210磅,95公斤/210磅,1992-10-21,本年薪金：7万美元
哈桑-怀特塞德,Hassan Whiteside,热火,heat,21,C,2.13米/7尺0,120公斤/265磅,120公斤/265磅,1989-06-13,本年薪金：2543万美元
泰勒-约翰逊,Tyler Johnson,热火,heat,8,G,1.93米/6尺4,84公斤/186磅,84公斤/186磅,1992-05-07,本年薪金：1886万美元
戈兰-德拉季奇,Goran Dragic,热火,heat,7,G,1.91米/6尺3,86公斤/190磅,86公斤/190磅,1986-05-06,本年薪金：1811万美元
詹姆斯-约翰逊,James Johnson,热火,heat,16,F,2.06米/6尺9,113公斤/250磅,113公斤/250磅,1987-02-20,本年薪金：1443万美元
迪昂-韦特斯,Dion Waiters,热火,heat,11,G,1.93米/6尺4,100公斤/220磅,100公斤/220磅,1991-12-10,本年薪金：1155万美元
凯利-奥利尼克,Kelly Olynyk,热火,heat,9,F,2.13米/7尺0,108公斤/238磅,108公斤/238磅,1991-04-19,本年薪金：1114万美元
约什-理查德森,Josh Richardson,热火,heat,0,F,1.98米/6尺6,91公斤/200磅,91公斤/200磅,1993-09-15,本年薪金：937万美元
韦恩-艾灵顿,Wayne Ellington,热火,heat,2,G,1.93米/6尺4,91公斤/200磅,91公斤/200磅,1987-11-29,本年薪金：627万美元
贾斯蒂斯-温斯洛,Justise Winslow,热火,heat,20,F,2.01米/6尺7,102公斤/225磅,102公斤/225磅,1996-03-26,本年薪金：345万美元
巴姆-阿德巴约,Bam Adebayo,热火,heat,13,C-F,2.08米/6尺10,116公斤/255磅,116公斤/255磅,1997-07-18,本年薪金：296万美元
德维恩-韦德,Dwyane Wade,热火,heat,3,G,1.93米/6尺4,100公斤/220磅,100公斤/220磅,1982-01-17,本年薪金：240万美元
犹多尼斯-哈斯勒姆,Udonis Haslem,热火,heat,40,F,2.03米/6尺8,107公斤/235磅,107公斤/235磅,1980-06-09,本年薪金：240万美元
小德里克-琼斯,Derrick Jones Jr.,热火,heat,5,F-G,2.01米/6尺7,86公斤/190磅,86公斤/190磅,1997-02-15,本年薪金：151万美元
罗德尼-麦格鲁德,Rodney McGruder,热火,heat,17,G-F,1.93米/6尺4,93公斤/205磅,93公斤/205磅,1991-07-29,本年薪金：105万美元
亚特-马滕,Yante Maten,热火,heat,00,F,2.03米/6尺8,109公斤/240磅,109公斤/240磅,1996-08-14,本年薪金：7万美元
邓肯-鲁宾逊,Duncan Robinson,热火,heat,55,F,2.03米/6尺8,98公斤/215磅,98公斤/215磅,1994-04-22,本年薪金：7万美元
凯文-乐福,Kevin Love,骑士,cavaliers,0,F-C,2.08米/6尺10,114公斤/251磅,114公斤/251磅,1988-09-07,本年薪金：2412万美元
特里斯坦-汤普森,Tristan Thompson,骑士,cavaliers,13,C-F,2.06米/6尺9,108公斤/238磅,108公斤/238磅,1991-03-13,本年薪金：1747万美元
JR-史密斯,JR Smith,骑士,cavaliers,5,G-F,1.98米/6尺6,102公斤/225磅,102公斤/225磅,1985-09-09,本年薪金：1472万美元
乔丹-克拉克森,Jordan Clarkson,骑士,cavaliers,8,G,1.96米/6尺5,88公斤/194磅,88公斤/194磅,1992-06-07,本年薪金：1250万美元
亚历克-伯克斯,Alec Burks,骑士,cavaliers,10,G,1.98米/6尺6,97公斤/214磅,97公斤/214磅,1991-07-20,本年薪金：1154万美元
约翰-亨森,John Henson,骑士,cavaliers,31,C-F,2.11米/6尺11,104公斤/229磅,104公斤/229磅,1990-12-28,本年薪金：1058万美元
马修-戴拉维多瓦,Matthew Dellavedova,骑士,cavaliers,18,G,1.93米/6尺4,90公斤/198磅,90公斤/198磅,1990-09-08,本年薪金：960万美元
科林-塞克斯顿,Collin Sexton,骑士,cavaliers,2,G,1.91米/6尺3,86公斤/190磅,86公斤/190磅,1999-01-04,本年薪金：407万美元
罗德尼-胡德,Rodney Hood,骑士,cavaliers,1,G,2.03米/6尺8,93公斤/206磅,93公斤/206磅,1992-10-20,本年薪金：347万美元
切迪-奥斯曼,Cedi Osman,骑士,cavaliers,16,F,2.03米/6尺8,98公斤/215磅,98公斤/215磅,1995-04-08,本年薪金：278万美元
钱宁-弗莱,Channing Frye,骑士,cavaliers,9,F-C,2.11米/6尺11,116公斤/255磅,116公斤/255磅,1983-05-17,本年薪金：239万美元
小拉里-南斯,Larry Nance Jr.,骑士,cavaliers,22,F,2.06米/6尺9,104公斤/230磅,104公斤/230磅,1993-01-01,本年薪金：227万美元
安特-日日奇,Ante Zizic,骑士,cavaliers,41,C,2.11米/6尺11,113公斤/250磅,113公斤/250磅,1997-01-04,本年薪金：195万美元
大卫-努瓦巴,David Nwaba,骑士,cavaliers,12,G,1.93米/6尺4,95公斤/209磅,95公斤/209磅,1993-01-14,本年薪金：151万美元
卡梅伦-佩恩,Cameron Payne,骑士,cavaliers,3,G,1.91米/6尺3,84公斤/185磅,84公斤/185磅,1994-08-08,本年薪金：9万美元
邓-阿德尔,Deng Adel,骑士,cavaliers,32,F,2.01米/6尺7,91公斤/200磅,91公斤/200磅,1997-02-01,本年薪金：7万美元
杰朗-布洛瑟姆盖姆,Jaron Blossomgame,骑士,cavaliers,4,F,2.01米/6尺7,100公斤/220磅,100公斤/220磅,1993-09-16,本年薪金：7万美元
维克托-奥拉迪波,Victor Oladipo,步行者,pacers,4,G,1.93米/6尺4,95公斤/210磅,95公斤/210磅,1992-05-04,本年薪金：2100万美元
赛迪斯-杨,Thaddeus Young,步行者,pacers,21,F,2.03米/6尺8,100公斤/221磅,100公斤/221磅,1988-06-21,本年薪金：1376万美元
泰瑞克-埃文斯,Tyreke Evans,步行者,pacers,12,G,1.98米/6尺6,100公斤/220磅,100公斤/220磅,1989-09-19,本年薪金：1230万美元
博扬-波格丹诺维奇,Bojan Bogdanovic,步行者,pacers,44,F,2.03米/6尺8,102公斤/225磅,102公斤/225磅,1989-04-18,本年薪金：1050万美元
达伦-科里森,Darren Collison,步行者,pacers,2,G,1.83米/6尺0,79公斤/175磅,79公斤/175磅,1987-08-23,本年薪金：1000万美元
科里-约瑟夫,Cory Joseph,步行者,pacers,6,G,1.91米/6尺3,86公斤/190磅,86公斤/190磅,1991-08-20,本年薪金：795万美元
道格-麦克德莫特,Doug McDermott,步行者,pacers,20,F,2.03米/6尺8,99公斤/219磅,99公斤/219磅,1992-01-03,本年薪金：733万美元
凯尔-奥奎因,Kyle O'Quinn,步行者,pacers,10,C,2.08米/6尺10,113公斤/250磅,113公斤/250磅,1990-03-26,本年薪金：445万美元
迈尔斯-特纳,Myles Turner,步行者,pacers,33,C-F,2.11米/6尺11,110公斤/243磅,110公斤/243磅,1996-03-24,本年薪金：341万美元
多曼塔斯-萨博尼斯,Domantas Sabonis,步行者,pacers,11,F,2.11米/6尺11,109公斤/240磅,109公斤/240磅,1996-05-03,本年薪金：266万美元
TJ-利夫,TJ Leaf,步行者,pacers,22,F,2.08米/6尺10,102公斤/225磅,102公斤/225磅,1997-04-30,本年薪金：241万美元
阿龙-霍勒迪,Aaron Holiday,步行者,pacers,3,G,1.85米/6尺1,84公斤/185磅,84公斤/185磅,1996-09-30,本年薪金：191万美元
伊凯-阿尼博古,Ike Anigbogu,步行者,pacers,13,C,2.08米/6尺10,113公斤/250磅,113公斤/250磅,1998-10-16,本年薪金：138万美元
阿利兹-约翰逊 ,Alize Johnson,步行者,pacers,24,F,2.06米/6尺9,91公斤/201磅,91公斤/201磅,1996-04-22,本年薪金：84万美元
达文-里德,Davon Reed,步行者,pacers,32,G,1.98米/6尺6,100公斤/220磅,100公斤/220磅,1995-06-11,本年薪金：7万美元
埃德蒙-萨姆纳,Edmond Sumner,步行者,pacers,5,G,1.96米/6尺5,84公斤/185磅,84公斤/185磅,1995-12-31,本年薪金：7万美元
,Stephan Hicks,步行者,pacers,,G-F,1.98米/6尺6,91公斤/200磅,91公斤/200磅,1992-04-02,本年薪金：万美元
达米安-利拉德,Damian Lillard,开拓者,blazers,0,G,1.91米/6尺3,88公斤/195磅,88公斤/195磅,1990-07-15,本年薪金：2798万美元
CJ-麦科勒姆,CJ McCollum,开拓者,blazers,3,G,1.91米/6尺3,86公斤/190磅,86公斤/190磅,1991-09-19,本年薪金：2576万美元
埃文-特纳,Evan Turner,开拓者,blazers,1,G-F,2.01米/6尺7,100公斤/220磅,100公斤/220磅,1988-10-27,本年薪金：1787万美元
优素福-努尔基奇,Jusuf Nurkic,开拓者,blazers,27,C,2.13米/7尺0,127公斤/280磅,127公斤/280磅,1994-08-23,本年薪金：1111万美元
迈耶斯-伦纳德,Meyers Leonard,开拓者,blazers,11,F-C,2.16米/7尺1,116公斤/255磅,116公斤/255磅,1992-02-27,本年薪金：1060万美元
莫里斯-哈克利斯,Maurice Harkless,开拓者,blazers,4,F,2.06米/6尺9,100公斤/220磅,100公斤/220磅,1993-05-11,本年薪金：1034万美元
艾尔-法鲁克-阿米奴,Al-Farouq Aminu,开拓者,blazers,8,F,2.06米/6尺9,100公斤/220磅,100公斤/220磅,1990-09-21,本年薪金：696万美元
扎克-科林斯,Zach Collins,开拓者,blazers,33,F-C,2.13米/7尺0,104公斤/230磅,104公斤/230磅,1997-11-19,本年薪金：363万美元
塞思-库里,Seth Curry,开拓者,blazers,31,G,1.88米/6尺2,84公斤/185磅,84公斤/185磅,1990-08-23,本年薪金：279万美元
安芬尼-西蒙斯,Anfernee Simons,开拓者,blazers,24,G,1.91米/6尺3,83公斤/183磅,83公斤/183磅,1999-06-08,本年薪金：183万美元
凯莱布-斯瓦尼根,Caleb Swanigan,开拓者,blazers,50,F,2.03米/6尺8,113公斤/250磅,113公斤/250磅,1997-04-18,本年薪金：174万美元
尼克-斯陶斯卡斯,Nik Stauskas,开拓者,blazers,6,G,1.98米/6尺6,93公斤/205磅,93公斤/205磅,1993-10-07,本年薪金：162万美元
韦德-鲍德温,Wade Baldwin IV,开拓者,blazers,2,G,1.93米/6尺4,92公斤/202磅,92公斤/202磅,1996-03-29,本年薪金：154万美元
杰克-莱曼,Jake Layman,开拓者,blazers,10,F,2.06米/6尺9,95公斤/210磅,95公斤/210磅,1994-03-07,本年薪金：105万美元
小加里-特伦特,Gary Trent Jr.,开拓者,blazers,9,G,1.98米/6尺6,95公斤/209磅,95公斤/209磅,1999-01-18,本年薪金：84万美元
贾巴里-帕克,Jabari Parker,公牛,bulls,2,F,2.03米/6尺8,113公斤/250磅,113公斤/250磅,1995-03-15,本年薪金：2000万美元
扎克-拉文,Zach LaVine,公牛,bulls,8,G,1.96米/6尺5,84公斤/185磅,84公斤/185磅,1995-03-10,本年薪金：1950万美元
罗宾-洛佩斯,Robin Lopez,公牛,bulls,42,C,2.13米/7尺0,116公斤/255磅,116公斤/255磅,1988-04-01,本年薪金：1436万美元
克里斯蒂亚诺-费利西奥,Cristiano Felicio,公牛,bulls,6,F-C,2.06米/6尺9,121公斤/266磅,121公斤/266磅,1992-07-07,本年薪金：847万美元
劳里-马尔卡宁,Lauri Markkanen,公牛,bulls,24,F,2.13米/7尺0,104公斤/230磅,104公斤/230磅,1997-05-22,本年薪金：454万美元
温德尔-卡特,Wendell Carter Jr.,公牛,bulls,34,F,2.08米/6尺10,117公斤/259磅,117公斤/259磅,1999-04-16,本年薪金：444万美元
克里斯-邓恩,Kris Dunn,公牛,bulls,32,G,1.93米/6尺4,93公斤/205磅,93公斤/205磅,1994-03-18,本年薪金：422万美元
博比-波蒂斯,Bobby Portis,公牛,bulls,5,F,2.11米/6尺11,112公斤/246磅,112公斤/246磅,1995-02-10,本年薪金：249万美元
卡梅罗-安东尼,Carmelo Anthony,公牛,bulls,,F,2.03米/6尺8,109公斤/240磅,109公斤/240磅,1984-05-29,本年薪金：240万美元
登泽尔-瓦伦丁,Denzel Valentine,公牛,bulls,45,G,1.98米/6尺6,96公斤/212磅,96公斤/212磅,1993-11-16,本年薪金：228万美元
钱德勒-哈奇森,Chandler Hutchison,公牛,bulls,15,F,2.01米/6尺7,89公斤/196磅,89公斤/196磅,1996-04-26,本年薪金：199万美元
韦恩-塞尔登,Wayne Selden,公牛,bulls,14,G-F,1.96米/6尺5,104公斤/230磅,104公斤/230磅,1994-09-30,本年薪金：154万美元
安东尼奥-布莱克尼,Antonio Blakeney,公牛,bulls,9,G,1.93米/6尺4,89公斤/197磅,89公斤/197磅,1996-10-04,本年薪金：135万美元
瑞安-阿西迪亚科诺,Ryan Arcidiacono,公牛,bulls,51,G,1.91米/6尺3,88公斤/195磅,88公斤/195磅,1994-03-26,本年薪金：135万美元
沙奎尔-哈里森,Shaquille Harrison,公牛,bulls,3,G,1.91米/6尺3,86公斤/189磅,86公斤/189磅,1993-10-06,本年薪金：131万美元
布兰登-桑普森,Brandon Sampson,公牛,bulls,44,G,1.96米/6尺5,83公斤/184磅,83公斤/184磅,1997-05-01,本年薪金：7万美元
罗尔-阿尔金斯,Rawle Alkins,公牛,bulls,20,G,1.96米/6尺5,100公斤/220磅,100公斤/220磅,1997-10-29,本年薪金：7万美元
扬尼斯-阿德托昆博,Giannis Antetokounmpo,雄鹿,bucks,34,F,2.11米/6尺11,101公斤/222磅,101公斤/222磅,1994-12-06,本年薪金：2416万美元
乔治-希尔,George Hill,雄鹿,bucks,3,G,1.91米/6尺3,85公斤/188磅,85公斤/188磅,1986-05-04,本年薪金：1900万美元
埃里克-布莱索,Eric Bledsoe,雄鹿,bucks,6,G,1.85米/6尺1,93公斤/205磅,93公斤/205磅,1989-12-09,本年薪金：1500万美元
克里斯-米德尔顿,Khris Middleton,雄鹿,bucks,22,F-G,2.03米/6尺8,106公斤/234磅,106公斤/234磅,1991-08-12,本年薪金：1300万美元
托尼-斯内尔,Tony Snell,雄鹿,bucks,21,G,2.01米/6尺7,98公斤/217磅,98公斤/217磅,1991-11-10,本年薪金：1061万美元
艾森-伊利亚索瓦,Ersan Ilyasova,雄鹿,bucks,77,F,2.08米/6尺10,107公斤/235磅,107公斤/235磅,1987-05-15,本年薪金：700万美元
杰森-史密斯,Jason Smith,雄鹿,bucks,20,F-C,2.13米/7尺0,109公斤/240磅,109公斤/240磅,1986-03-02,本年薪金：545万美元
布鲁克-洛佩斯,Brook Lopez,雄鹿,bucks,11,C,2.13米/7尺0,122公斤/268磅,122公斤/268磅,1988-04-01,本年薪金：338万美元
索恩-梅克,Thon Maker,雄鹿,bucks,7,C-F,2.16米/7尺1,101公斤/223磅,101公斤/223磅,1997-02-25,本年薪金：280万美元
DJ-威尔森,D.J. Wilson,雄鹿,bucks,5,F,2.08米/6尺10,109公斤/240磅,109公斤/240磅,1996-02-19,本年薪金：253万美元
唐特-迪温琴佐,Donte DiVincenzo,雄鹿,bucks,9,G,1.96米/6尺5,93公斤/205磅,93公斤/205磅,1997-01-31,本年薪金：248万美元
帕特-康诺顿,Pat Connaughton,雄鹿,bucks,24,G-F,1.96米/6尺5,95公斤/210磅,95公斤/210磅,1993-01-06,本年薪金：164万美元
马尔科姆-布罗格登,Malcolm Brogdon,雄鹿,bucks,13,G,1.96米/6尺5,98公斤/215磅,98公斤/215磅,1992-12-11,本年薪金：154万美元
克里斯蒂安-伍德,Christian Wood,雄鹿,bucks,35,F,2.11米/6尺11,100公斤/220磅,100公斤/220磅,1995-09-27,本年薪金：151万美元
斯特林-布朗,Sterling Brown,雄鹿,bucks,23,G,1.98米/6尺6,104公斤/230磅,104公斤/230磅,1995-02-10,本年薪金：138万美元
邦齐-科尔森,Bonzie Colson,雄鹿,bucks,50,F,1.98米/6尺6,102公斤/224磅,102公斤/224磅,1996-01-12,本年薪金：7万美元
特雷旺-杜瓦尔,Trevon Duval,雄鹿,bucks,0,G,1.91米/6尺3,84公斤/186磅,84公斤/186磅,1998-08-03,本年薪金：7万美元
哈里森-巴恩斯,Harrison Barnes,独行侠,mavericks,40,F,2.03米/6尺8,102公斤/225磅,102公斤/225磅,1992-05-30,本年薪金：2411万美元
德安德烈-乔丹,DeAndre Jordan,独行侠,mavericks,6,C,2.11米/6尺11,120公斤/265磅,120公斤/265磅,1988-07-21,本年薪金：2290万美元
韦斯利-马修斯,Wesley Matthews,独行侠,mavericks,23,G-F,1.96米/6尺5,100公斤/220磅,100公斤/220磅,1986-10-14,本年薪金：1862万美元
德怀特-鲍威尔,Dwight Powell,独行侠,mavericks,7,F-C,2.11米/6尺11,109公斤/240磅,109公斤/240磅,1991-07-20,本年薪金：956万美元
卢卡-东契奇,Luka Doncic,独行侠,mavericks,77,G-F,2.03米/6尺8,103公斤/228磅,103公斤/228磅,1999-02-28,本年薪金：656万美元
德克-诺维茨基,Dirk Nowitzki,独行侠,mavericks,41,F,2.13米/7尺0,111公斤/245磅,111公斤/245磅,1978-06-19,本年薪金：500万美元
丹尼斯-史密斯,Dennis Smith Jr.,独行侠,mavericks,1,G,1.91米/6尺3,88公斤/195磅,88公斤/195磅,1997-11-25,本年薪金：382万美元
何塞-巴里亚,J.J. Barea,独行侠,mavericks,5,G,1.83米/6尺0,84公斤/185磅,84公斤/185磅,1984-06-26,本年薪金：371万美元
德文-哈里斯,Devin Harris,独行侠,mavericks,34,G,1.91米/6尺3,84公斤/185磅,84公斤/185磅,1983-02-27,本年薪金：239万美元
萨拉赫-梅杰里,Salah Mejri,独行侠,mavericks,50,C,2.18米/7尺2,111公斤/245磅,111公斤/245磅,1986-06-15,本年薪金：157万美元
马克西-克勒贝尔,Maxi Kleber,独行侠,mavericks,42,F,2.11米/6尺11,100公斤/220磅,100公斤/220磅,1992-01-29,本年薪金：138万美元
杰伦-布伦森,Jalen Brunson,独行侠,mavericks,13,G,1.91米/6尺3,86公斤/190磅,86公斤/190磅,1996-08-31,本年薪金：123万美元
多里安-芬尼-史密斯,Dorian Finney-Smith,独行侠,mavericks,10,F,2.03米/6尺8,100公斤/220磅,100公斤/220磅,1993-05-04,本年薪金：105万美元
瑞安-布罗科夫,Ryan Broekhoff,独行侠,mavericks,45,G-F,2.01米/6尺7,98公斤/215磅,98公斤/215磅,1990-08-23,本年薪金：84万美元
雷-斯波尔丁,Ray Spalding,独行侠,mavericks,26,F,2.08米/6尺10,98公斤/215磅,98公斤/215磅,1997-03-11,本年薪金：84万美元
达里尔-梅肯,Daryl Macon,独行侠,mavericks,3,G,1.91米/6尺3,84公斤/185磅,84公斤/185磅,1995-11-29,本年薪金：7万美元
科斯塔斯-阿德托昆博,Kostas Antetokounmpo,独行侠,mavericks,37,F,2.08米/6尺10,88公斤/195磅,88公斤/195磅,1997-11-20,本年薪金：7万美元
德马尔-德罗赞,DeMar DeRozan,马刺,spurs,10,G,2.01米/6尺7,100公斤/220磅,100公斤/220磅,1989-08-07,本年薪金：2794万美元
拉马库斯-阿尔德里奇,LaMarcus Aldridge,马刺,spurs,12,F,2.11米/6尺11,118公斤/260磅,118公斤/260磅,1985-07-19,本年薪金：2235万美元
保罗-加索尔,Pau Gasol,马刺,spurs,16,C-F,2.13米/7尺0,113公斤/250磅,113公斤/250磅,1980-07-06,本年薪金：1600万美元
帕蒂-米尔斯,Patty Mills,马刺,spurs,8,G,1.83米/6尺0,84公斤/185磅,84公斤/185磅,1988-08-11,本年薪金：1205万美元
鲁迪-盖伊,Rudy Gay,马刺,spurs,22,F,2.03米/6尺8,104公斤/230磅,104公斤/230磅,1986-08-17,本年薪金：1008万美元
戴维斯-贝尔坦斯,Davis Bertans,马刺,spurs,42,F,2.08米/6尺10,95公斤/210磅,95公斤/210磅,1992-11-12,本年薪金：700万美元
